model,split,pooled_spearman,spearman_ci_lo,spearman_ci_hi,pooled_pearson,pooled_auroc,precision_at_5pct,per_fold_spearman_mean,per_fold_spearman_sd,n,n_folds,claim
domain_mean,region_blocked,0.09829908899547468,0.01928393854121887,0.14121078789176045,0.08543110485946037,0.5472275253466277,0.054187192118226604,0.01768949304301679,0.06666454528602526,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
position_mean,region_blocked,0.09829908899547468,0.01928393854121887,0.14121078789176045,0.08543110485946037,0.5472275253466277,0.054187192118226604,0.01768949304301679,0.06666454528602526,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
codon_only_hgb,region_blocked,0.01874597102165924,-0.012700665923801804,0.05540610369946794,0.021678045627840183,0.5046860859979181,0.04187192118226601,0.05567164921732243,0.05503292211652039,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
ridge_handcrafted,region_blocked,0.17306425219053834,0.12495118760167508,0.1998524956951947,0.14499084187433114,0.582919981043531,0.05665024630541872,0.13585507381091572,0.061862550753995105,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
hgb_handcrafted,region_blocked,0.18884692043350085,0.15129550105502138,0.20932375395496086,0.1611192094451988,0.5899697670304361,0.046798029556650245,0.14967939349180998,0.041920542582775625,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
esm650M_wtmarg_zeroshot,region_blocked,0.17901492227870364,0.1371842341355599,0.2118244223559591,0.1614644157509059,0.5929895123808983,0.07389162561576355,0.15583356385141223,0.0670272631308365,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
esm650M_maskmarg_zeroshot,region_blocked,0.18042966310726524,0.13589361564737587,0.21020422090795698,0.16662381549411373,0.5940556316267047,0.07142857142857142,0.1550604852019184,0.06880694419344767,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
ridge_esm_lm,region_blocked,0.170359348732806,0.13386746430451243,0.2007307583506584,0.16341213297047905,0.5872191544846583,0.04926108374384237,0.15773042363603199,0.05970554492114828,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
hgb_full_extension,region_blocked,0.18972810310903307,0.15051527836149814,0.21741850178462852,0.16664751202954986,0.5946213083484837,0.04926108374384237,0.164226707032677,0.05897698771550172,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
ridge_full_extension,region_blocked,0.20258408535849326,0.1556852433711131,0.2315459198294335,0.1810230268464926,0.6027026689013251,0.059113300492610835,0.17761044442790155,0.06852867024113254,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
global_mean,domain_holdout,-0.14998097931507337,-0.19033886471133735,-0.08409218776522948,-0.12482809825531195,0.4273120742095005,0.029556650246305417,0.0,0.0,8117,11,new substitution in an entirely unmeasured structural domain
blosum62,domain_holdout,0.11229213952061523,0.06538469134406184,0.14675681792975706,0.08814880773485613,0.5534610794380717,0.046798029556650245,0.09990253004302638,0.09716847379260259,8117,11,new substitution in an entirely unmeasured structural domain
domain_mean,domain_holdout,-0.14998097931507337,-0.19033886471133735,-0.08409218776522948,-0.12482809825531195,0.4273120742095005,0.029556650246305417,0.0,0.0,8117,11,new substitution in an entirely unmeasured structural domain
position_mean,domain_holdout,-0.14998097931507337,-0.19033886471133735,-0.08409218776522948,-0.12482809825531195,0.4273120742095005,0.029556650246305417,0.0,0.0,8117,11,new substitution in an entirely unmeasured structural domain
codon_only_hgb,domain_holdout,0.01768133428609556,-0.027075467175814796,0.05842789174755237,0.023369774728960204,0.5053768581729009,0.04433497536945813,0.040966255585188766,0.09757585447349065,8117,11,new substitution in an entirely unmeasured structural domain
ridge_handcrafted,domain_holdout,0.1475028549627574,0.09043725066730657,0.19643226689977392,0.12418568620075345,0.5693695116305076,0.05172413793103448,0.11319501469908029,0.0960661856959275,8117,11,new substitution in an entirely unmeasured structural domain
hgb_handcrafted,domain_holdout,0.1914926421004593,0.13873226867340305,0.24398804846475625,0.16187414324230015,0.5891536869130061,0.07142857142857142,0.1504161092530068,0.06824651030341475,8117,11,new substitution in an entirely unmeasured structural domain
esm650M_wtmarg_zeroshot,domain_holdout,0.17901492227870364,0.13298685127899762,0.2138500519407711,0.1614644157509059,0.5929895123808983,0.07389162561576355,0.14927205053849765,0.10702543328823112,8117,11,new substitution in an entirely unmeasured structural domain
esm650M_maskmarg_zeroshot,domain_holdout,0.18042966310726524,0.13431857694669233,0.21679247093547324,0.16662381549411373,0.5940556316267047,0.07142857142857142,0.14937402449689197,0.11513310743231517,8117,11,new substitution in an entirely unmeasured structural domain
ridge_esm_lm,domain_holdout,0.166360479779085,0.13315997390296405,0.20506187050123945,0.15911349898074176,0.5851906410994752,0.05172413793103448,0.1473867741104323,0.11875268651556826,8117,11,new substitution in an entirely unmeasured structural domain
hgb_full_extension,domain_holdout,0.19578567936780122,0.15255199155939259,0.2233819640294721,0.17297877778655674,0.59491463457132,0.054187192118226604,0.1454331802542669,0.11084472471904701,8117,11,new substitution in an entirely unmeasured structural domain
ridge_full_extension,domain_holdout,0.19349742273862866,0.14889922147602988,0.23121046401109616,0.17483898684388624,0.597687953110545,0.04926108374384237,0.16061290554894184,0.11476051194627991,8117,11,new substitution in an entirely unmeasured structural domain
